"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","306","Создание заказа с разными цветами","tests","2026-06-02","passed","2026-06-02","TestOrderCreate","test_order_create","",""
"","888","Успешный запрос возвращает ok: true","tests","2026-06-07","passed","2026-06-07","TestCourierCreate","test_courier_create","",""
"","343","Создание курьера без пароля","tests","2026-06-07","passed","2026-06-07","TestCourierCreate","test_courier_create","",""
"","999","Успешное создание курьера","tests","2026-06-07","passed","2026-06-07","TestCourierCreate","test_courier_create","",""
"","292","Логин несуществующего пользователя — ошибка 404","tests","2026-06-07","passed","2026-06-07","TestCourierLogin","test_courier_login","",""
"","310","Создание заказа с разными цветами","tests","2026-06-07","passed","2026-06-07","TestOrderCreate","test_order_create","",""
"","279","Создание заказа с разными цветами","tests","2026-06-03","passed","2026-06-03","TestOrderCreate","test_order_create","",""
"","60289","Логин без пароля — ошибка 400","tests","2026-06-07","failed","2026-06-07","TestCourierLogin","test_courier_login","",""
"","269","Создание заказа с разными цветами","tests","2026-06-02","failed","2026-06-02","TestOrderCreate","test_order_create","",""
"","300","Создание заказа с разными цветами","tests","2026-06-02","failed","2026-06-02","TestOrderCreate","test_order_create","",""
"","280","Создание заказа с одиночным цветом (известный баг)","tests","2026-06-07","skipped","2026-06-07","TestOrderCreate","test_order_create","",""
"","747","Создание курьера без логина","tests","2026-06-07","passed","2026-06-07","TestCourierCreate","test_courier_create","",""
"","11580","Получение списка заказов","tests","2026-06-07","passed","2026-06-07","TestOrderList","test_order_list","",""
"","268","Создание заказа с разными цветами","tests","2026-06-02","failed","2026-06-02","TestOrderCreate","test_order_create","",""
"","825","Успешный логин курьера","tests","2026-06-07","passed","2026-06-07","TestCourierLogin","test_courier_login","",""
"","328","Нельзя создать двух одинаковых курьеров","tests","2026-06-07","passed","2026-06-07","TestCourierCreate","test_courier_create","",""
"","1916","Создание курьера без имени","tests","2026-06-07","passed","2026-06-07","TestCourierCreate","test_courier_create","",""
"","496","Логин без логина — ошибка 400","tests","2026-06-07","passed","2026-06-07","TestCourierLogin","test_courier_login","",""
"","285","Создание заказа с разными цветами","tests","2026-06-02","failed","2026-06-02","TestOrderCreate","test_order_create","",""
"","273","Логин с неверным паролем — ошибка 404","tests","2026-06-07","passed","2026-06-07","TestCourierLogin","test_courier_login","",""
"","291","Создание заказа с разными цветами","tests","2026-06-02","passed","2026-06-02","TestOrderCreate","test_order_create","",""
"","293","Создание заказа с разными цветами","tests","2026-06-07","passed","2026-06-07","TestOrderCreate","test_order_create","",""
"","290","Создание заказа с разными цветами","tests","2026-06-03","passed","2026-06-03","TestOrderCreate","test_order_create","",""
"","287","Создание заказа с одиночным цветом (известный баг)","tests","2026-06-07","skipped","2026-06-07","TestOrderCreate","test_order_create","",""
